student_id,age,gender,course,previous_semester_gpa,study_hours_per_day,attendance_percentage,sleep_hours_per_day,assignment_completion_rate,study_medium,exam_difficulty,social_media_hours_per_day,analytical_skill,communication_skill,technical_skill,leadership_skill,creativity_skill,final_exam_score,career_path
21,20,Male,BA,9.25,8.1,96,4.5,outstanding,coaching,moderate,1.9,outstanding,outstanding,outstanding,average,average,95.0,Technology
22,22,Female,BSc,6.5,2.5,62,5.0,average,self-study,hard,3.4,outstanding,poor,average,average,poor,73.5,Public Service
23,19,Female,BBA,9.15,1.5,95,9.0,average,self-study,hard,5.7,average,poor,average,average,outstanding,95.0,Creative
24,23,Male,BCA,6.17,2.3,78,8.4,poor,online,easy,6.6,poor,average,poor,outstanding,outstanding,63.14,Creative
25,23,Female,BCA,5.24,8.9,89,6.4,outstanding,coaching,hard,2.4,poor,good,average,good,poor,95.0,Business
26,20,Female,BSc,8.98,8.1,92,7.8,good,self-study,easy,4.7,average,good,good,good,average,95.0,Business
27,20,Male,BA,9.53,3.1,68,6.9,average,coaching,hard,0.0,outstanding,poor,outstanding,poor,average,95.0,Technology
28,18,Female,BTech,5.88,1.2,88,8.3,average,self-study,hard,1.9,average,average,good,good,average,73.72,Public Service
29,21,Male,BA,8.12,5.5,94,7.6,good,online,moderate,1.4,outstanding,poor,good,outstanding,outstanding,95.0,Technology
30,22,Female,BBA,5.78,9.9,100,5.4,good,self-study,moderate,2.4,average,good,good,poor,outstanding,91.56,Creative
31,18,Female,BA,9.01,1.5,86,8.4,average,coaching,moderate,6.4,poor,poor,good,good,outstanding,94.74,Creative
32,18,Male,BA,7.16,1.0,50,7.4,poor,self-study,moderate,4.3,good,poor,average,poor,good,69.03,Creative
33,19,Male,BCA,6.43,5.8,84,4.4,good,online,moderate,2.3,average,outstanding,average,average,poor,72.43,Public Service
34,24,Female,BCom,7.58,4.1,100,5.3,good,coaching,hard,0.0,average,average,good,outstanding,outstanding,95.0,Creative
35,24,Female,BSc,7.55,9.2,81,6.1,good,self-study,moderate,0.0,outstanding,average,average,outstanding,average,95.0,Public Service
36,19,Female,BSc,7.69,4.5,77,7.6,good,coaching,easy,5.6,average,good,outstanding,outstanding,outstanding,89.05,Business
37,24,Female,BSc,9.44,5.5,82,5.9,good,online,hard,1.6,good,poor,poor,good,poor,95.0,Public Service
38,20,Female,BA,9.44,9.8,95,4.8,good,coaching,hard,0.0,good,poor,poor,average,good,95.0,Creative
39,18,Female,BSc,7.52,5.1,75,4.5,average,self-study,easy,5.1,good,poor,good,outstanding,good,84.44,Technology
40,23,Female,BTech,5.69,8.4,75,4.4,outstanding,self-study,easy,0.0,good,average,outstanding,average,average,88.72,Technology
41,19,Male,BCA,5.17,9.8,86,6.6,outstanding,group-study,moderate,0.0,good,average,outstanding,good,average,95.0,Technology
42,24,Male,BBA,5.43,1.2,77,7.4,poor,self-study,hard,0.3,good,good,average,average,average,65.85,Public Service
43,20,Male,BCom,7.23,7.4,87,5.3,good,self-study,easy,0.8,outstanding,average,poor,good,good,95.0,Creative
44,22,Female,BCom,9.11,7.2,89,5.3,outstanding,self-study,moderate,2.2,poor,poor,outstanding,poor,average,95.0,Public Service
45,18,Female,BA,6.94,3.8,100,7.4,good,group-study,hard,4.8,good,good,good,poor,good,82.85,Technology
46,19,Female,BBA,9.8,2.0,74,6.9,average,group-study,moderate,7.2,outstanding,outstanding,poor,average,poor,77.16,Research
47,21,Female,BSc,7.37,6.3,72,4.1,outstanding,group-study,hard,4.7,average,average,outstanding,average,good,71.37,Creative
48,21,Female,BCA,7.63,4.0,83,7.7,average,coaching,hard,3.5,good,good,good,poor,outstanding,95.0,Technology
49,21,Female,BCA,5.03,8.8,81,8.7,good,group-study,easy,4.6,outstanding,outstanding,average,average,outstanding,95.0,Creative
50,24,Female,BCom,5.51,5.4,86,8.6,average,coaching,moderate,4.3,good,poor,outstanding,poor,average,72.26,Technology
51,24,Male,BSc,8.53,4.4,66,8.7,good,self-study,easy,3.1,good,good,poor,poor,poor,95.0,Public Service
52,21,Male,BBA,9.02,7.7,84,6.1,outstanding,self-study,moderate,5.2,good,good,poor,outstanding,poor,95.0,Business
53,24,Female,BCom,6.69,9.1,99,4.8,outstanding,online,moderate,0.5,average,outstanding,good,good,good,95.0,Business
54,20,Male,BA,5.1,5.1,90,5.9,average,coaching,moderate,0.1,outstanding,average,poor,good,average,82.61,Public Service
55,21,Female,BA,9.7,9.1,86,5.4,good,self-study,moderate,3.7,good,good,average,outstanding,poor,95.0,Business
56,23,Female,BTech,5.41,3.0,80,4.4,poor,self-study,moderate,2.2,average,poor,outstanding,good,poor,59.22,Public Service
57,21,Female,BBA,6.73,2.8,74,8.5,average,group-study,hard,7.0,average,average,average,poor,outstanding,76.64,Creative
58,22,Female,BCom,8.34,8.8,81,8.3,outstanding,coaching,easy,3.5,poor,outstanding,good,outstanding,good,95.0,Business
59,23,Female,BTech,9.42,0.8,52,6.5,poor,coaching,moderate,1.6,average,outstanding,good,average,good,72.16,Creative
60,20,Male,BBA,6.44,2.5,75,5.4,poor,online,moderate,3.5,poor,poor,average,average,good,72.06,Creative
61,23,Female,BTech,7.37,0.9,54,7.9,poor,self-study,moderate,4.6,outstanding,poor,good,good,poor,75.74,Technology
62,19,Female,BSc,8.37,6.6,100,8.4,outstanding,online,easy,0.0,poor,outstanding,poor,good,good,95.0,Business
63,21,Female,BSc,8.94,7.8,71,8.7,outstanding,self-study,moderate,1.7,poor,good,good,good,good,95.0,Business
64,23,Female,BTech,9.07,10.0,80,8.5,outstanding,coaching,easy,1.3,good,poor,good,good,poor,95.0,Technology
65,18,Male,BCA,7.89,6.8,81,6.4,outstanding,coaching,hard,5.2,poor,poor,outstanding,poor,good,95.0,Creative
66,18,Female,BCA,8.14,1.8,79,6.3,poor,self-study,hard,3.8,outstanding,good,good,poor,poor,73.01,Technology
67,19,Female,BA,8.57,3.3,79,8.7,average,self-study,easy,7.0,good,average,poor,good,good,89.16,Creative
68,21,Male,BSc,6.91,4.7,72,6.2,good,online,hard,0.0,poor,good,average,outstanding,poor,95.0,Business
69,24,Male,BA,8.46,9.6,100,5.6,good,coaching,easy,0.0,outstanding,average,average,outstanding,average,95.0,Research
70,18,Female,BTech,8.1,2.9,68,7.9,poor,coaching,hard,6.0,good,outstanding,good,good,average,74.5,Technology
71,24,Male,BA,7.11,3.4,77,7.0,average,coaching,easy,1.4,outstanding,outstanding,outstanding,outstanding,poor,85.47,Technology
72,20,Male,BBA,9.63,2.2,80,6.2,average,coaching,easy,6.7,poor,average,outstanding,good,average,89.68,Public Service
73,22,Female,BA,9.51,0.8,61,6.3,average,group-study,easy,6.3,poor,outstanding,average,good,average,74.63,Business
74,20,Female,BA,7.67,1.0,87,7.5,poor,group-study,hard,4.5,average,average,average,average,good,77.81,Creative
75,21,Male,BSc,5.79,6.9,86,5.1,outstanding,online,hard,1.2,good,outstanding,poor,outstanding,outstanding,95.0,Business
76,19,Male,BBA,9.04,9.1,96,6.1,outstanding,coaching,hard,0.0,poor,average,average,average,good,95.0,Creative
77,24,Male,BBA,7.4,3.6,74,7.9,good,group-study,easy,6.8,outstanding,good,good,average,poor,85.19,Technology
78,22,Female,BSc,7.04,8.0,90,7.7,good,group-study,hard,0.3,good,average,average,outstanding,outstanding,95.0,Creative
79,22,Male,BA,6.13,4.5,70,4.2,average,group-study,hard,3.8,poor,outstanding,outstanding,poor,outstanding,79.29,Creative
80,21,Female,BSc,6.34,7.2,99,4.7,outstanding,coaching,easy,4.2,outstanding,average,poor,average,outstanding,91.98,Creative
81,22,Male,BA,6.48,6.3,60,7.9,good,coaching,moderate,3.2,outstanding,outstanding,poor,outstanding,outstanding,93.84,Business
82,21,Female,BSc,6.08,5.7,100,4.5,average,self-study,moderate,0.7,average,good,outstanding,good,average,88.59,Business
83,21,Female,BSc,6.43,4.4,71,5.5,average,online,easy,4.9,outstanding,poor,good,average,outstanding,81.88,Technology
84,24,Female,BCA,6.45,4.6,70,8.8,average,group-study,hard,6.5,poor,outstanding,poor,poor,outstanding,63.14,Creative
85,20,Female,BTech,6.47,8.2,83,5.7,outstanding,coaching,moderate,2.2,good,average,good,outstanding,poor,95.0,Technology
86,18,Male,BBA,8.11,8.4,75,4.2,outstanding,self-study,easy,4.9,average,poor,average,good,outstanding,95.0,Creative
87,18,Male,BSc,6.68,4.1,77,6.9,good,online,hard,0.4,poor,outstanding,good,average,average,95.0,Public Service
88,23,Female,BCA,5.35,7.5,76,5.9,outstanding,self-study,moderate,0.0,good,poor,good,outstanding,poor,93.15,Technology
89,21,Male,BCom,6.39,5.1,72,8.1,average,self-study,hard,0.0,outstanding,average,outstanding,good,average,88.34,Technology
90,18,Female,BCom,5.31,3.0,71,4.4,average,online,easy,2.8,average,good,outstanding,outstanding,poor,61.69,Business
91,19,Male,BBA,9.39,5.6,100,6.3,average,coaching,moderate,5.8,outstanding,good,average,good,outstanding,95.0,Business
92,19,Male,BBA,8.38,7.7,75,6.6,good,self-study,easy,0.0,outstanding,outstanding,good,average,good,95.0,Technology
93,21,Female,BSc,5.39,2.1,61,8.3,average,coaching,moderate,1.3,outstanding,average,average,outstanding,outstanding,74.03,Creative
94,24,Female,BBA,5.88,4.0,85,6.7,good,online,hard,6.1,outstanding,average,good,good,average,83.09,Technology
95,19,Male,BCom,6.43,3.6,66,5.4,good,coaching,moderate,0.0,good,average,good,poor,poor,84.2,Technology
96,21,Female,BCom,5.29,1.5,44,6.9,average,self-study,hard,1.1,outstanding,average,good,outstanding,poor,56.19,Technology
97,20,Female,BA,7.28,5.4,77,6.4,average,coaching,hard,3.7,average,good,outstanding,average,average,72.35,Public Service
98,19,Female,BA,6.85,1.3,57,5.9,average,group-study,easy,3.7,poor,outstanding,average,average,good,68.86,Creative
99,23,Female,BA,5.4,0.9,64,6.8,average,group-study,moderate,2.2,average,outstanding,poor,good,outstanding,60.24,Business
100,18,Male,BTech,5.74,9.3,87,4.8,outstanding,group-study,hard,0.9,poor,good,outstanding,outstanding,poor,95.0,Business
101,22,Male,BA,6.24,3.3,72,5.2,good,self-study,moderate,6.4,poor,poor,average,poor,average,64.83,Public Service
102,19,Male,BBA,6.02,8.5,87,5.3,good,coaching,moderate,1.4,good,outstanding,good,good,good,90.72,Technology
103,21,Female,BA,7.8,2.7,72,6.2,average,self-study,easy,2.1,average,outstanding,average,average,outstanding,89.43,Creative
104,21,Female,BTech,9.7,1.0,71,8.6,average,group-study,hard,4.4,poor,good,outstanding,poor,poor,94.04,Public Service
105,24,Male,BA,6.65,2.8,81,4.1,poor,online,easy,0.0,good,average,good,poor,average,50.53,Technology
106,22,Female,BCom,9.72,4.7,90,4.6,good,online,hard,0.0,outstanding,good,poor,poor,outstanding,95.0,Research
107,23,Female,BCom,9.73,7.3,77,7.9,outstanding,coaching,moderate,0.0,average,outstanding,average,poor,poor,95.0,Public Service
108,20,Male,BCA,8.94,4.8,80,7.9,good,self-study,easy,3.7,good,good,poor,average,outstanding,95.0,Creative
109,20,Female,BA,6.22,7.6,91,5.0,outstanding,coaching,moderate,0.0,average,outstanding,poor,poor,average,95.0,Public Service
110,23,Female,BCA,9.49,1.2,76,6.5,average,group-study,moderate,2.5,outstanding,average,good,average,outstanding,94.65,Technology
111,19,Male,BA,5.31,3.2,79,8.8,good,coaching,hard,2.8,average,poor,good,good,poor,78.66,Public Service
112,23,Male,BBA,5.22,5.1,78,5.3,good,group-study,hard,1.7,average,good,outstanding,good,average,80.3,Business
113,19,Male,BA,6.62,9.3,93,8.1,outstanding,coaching,hard,2.5,average,outstanding,good,good,average,95.0,Business
114,24,Female,BBA,5.84,9.2,94,7.7,outstanding,group-study,moderate,3.2,average,average,good,good,good,95.0,Creative
115,22,Female,BCA,7.61,1.1,64,8.2,poor,online,moderate,5.9,outstanding,poor,poor,outstanding,poor,67.31,Public Service
116,22,Female,BBA,8.88,3.9,50,4.9,average,online,moderate,2.9,average,average,good,average,average,77.87,Public Service
117,20,Male,BCom,8.37,8.1,89,5.4,outstanding,group-study,moderate,4.1,good,outstanding,poor,outstanding,good,95.0,Business
118,23,Female,BSc,9.41,5.5,82,6.8,good,group-study,easy,0.0,poor,good,average,good,average,95.0,Business
119,19,Female,BA,7.83,7.2,86,5.9,outstanding,online,moderate,2.6,poor,average,good,good,average,93.91,Public Service
120,19,Female,BA,9.28,9.5,90,7.7,good,coaching,easy,0.0,average,poor,average,outstanding,average,95.0,Public Service
121,23,Male,BSc,5.74,1.0,64,7.4,poor,online,hard,3.1,poor,poor,outstanding,good,good,51.67,Creative
122,22,Male,BTech,8.62,5.7,91,4.7,good,coaching,easy,2.3,outstanding,outstanding,poor,average,average,95.0,Research
123,19,Female,BCA,8.29,2.9,67,8.4,average,group-study,moderate,0.2,average,average,poor,outstanding,poor,95.0,Public Service
124,23,Male,BBA,8.16,5.5,74,8.9,average,online,easy,0.0,average,outstanding,average,poor,poor,95.0,Public Service
125,18,Female,BSc,9.59,3.9,78,8.7,good,online,hard,0.9,average,good,good,average,average,95.0,Public Service
126,23,Female,BSc,9.36,9.2,78,7.0,good,self-study,moderate,1.5,average,average,good,good,outstanding,95.0,Creative
127,20,Male,BTech,8.92,5.3,72,4.7,good,group-study,hard,3.9,poor,outstanding,average,poor,good,95.0,Creative
128,22,Male,BBA,5.52,5.4,66,5.1,average,self-study,hard,2.9,outstanding,average,outstanding,outstanding,good,79.13,Technology
129,21,Male,BBA,7.66,9.9,92,4.6,outstanding,self-study,hard,0.4,average,poor,outstanding,outstanding,good,95.0,Creative
130,22,Male,BA,7.29,0.6,60,8.8,poor,self-study,easy,1.5,outstanding,poor,average,average,good,70.02,Creative
131,20,Female,BTech,6.13,8.5,75,6.7,outstanding,online,easy,5.0,average,outstanding,good,outstanding,good,95.0,Business
132,18,Female,BBA,6.38,5.7,83,6.5,average,group-study,moderate,2.5,good,poor,good,poor,average,95.0,Technology
133,23,Male,BSc,8.72,4.7,72,8.7,average,online,easy,4.2,poor,good,average,poor,good,95.0,Creative
134,22,Female,BA,5.12,7.7,75,7.4,good,self-study,hard,0.0,poor,good,poor,good,average,95.0,Business
135,22,Male,BCom,9.27,1.4,63,5.4,poor,self-study,moderate,1.0,outstanding,average,average,outstanding,good,84.03,Research
136,21,Male,BBA,9.29,7.0,91,4.6,good,group-study,hard,4.7,average,outstanding,good,outstanding,average,95.0,Business
137,20,Female,BCA,5.39,0.6,68,4.5,poor,online,easy,6.8,average,poor,average,poor,outstanding,42.62,Creative
138,24,Female,BA,7.83,5.1,77,7.6,average,online,moderate,0.9,average,outstanding,good,poor,average,95.0,Public Service
139,23,Female,BA,6.79,8.8,90,5.0,outstanding,group-study,hard,0.3,good,good,outstanding,average,good,95.0,Technology
140,24,Female,BCom,7.13,7.4,88,4.1,outstanding,self-study,hard,0.0,good,poor,poor,good,average,95.0,Public Service
141,20,Male,BCom,8.78,8.9,80,8.3,good,coaching,easy,4.0,average,good,good,good,outstanding,95.0,Business
142,24,Male,BBA,6.02,9.2,94,6.4,good,self-study,easy,3.4,poor,outstanding,poor,average,outstanding,95.0,Creative
143,18,Male,BCom,6.15,3.5,84,7.6,good,online,hard,6.6,average,average,poor,poor,good,80.57,Creative
144,18,Male,BA,5.34,8.6,84,6.3,good,online,hard,3.0,outstanding,good,good,outstanding,good,91.03,Technology
145,24,Male,BTech,5.03,7.3,90,5.9,outstanding,online,moderate,3.5,average,poor,poor,average,average,84.79,Public Service
146,24,Male,BSc,7.74,9.7,66,5.4,good,self-study,hard,0.8,average,poor,average,outstanding,good,95.0,Creative
147,18,Male,BTech,7.02,4.1,87,4.8,good,coaching,easy,6.8,average,average,poor,outstanding,good,75.95,Creative
148,18,Female,BCA,8.08,1.9,60,5.8,average,online,moderate,4.7,good,poor,average,average,outstanding,74.1,Creative
149,24,Female,BA,5.81,8.8,71,4.7,outstanding,coaching,moderate,5.2,outstanding,average,poor,outstanding,good,88.34,Creative
150,20,Male,BCom,6.15,9.6,99,8.0,outstanding,online,moderate,0.9,average,average,good,poor,average,95.0,Public Service
151,19,Female,BTech,7.8,2.4,81,7.1,poor,coaching,hard,6.7,outstanding,poor,poor,poor,poor,74.06,Public Service
152,24,Male,BCom,5.63,9.7,81,5.6,outstanding,online,moderate,3.1,good,average,average,good,outstanding,95.0,Creative
153,19,Male,BBA,9.52,0.5,73,4.6,poor,online,moderate,7.2,outstanding,poor,good,average,poor,60.88,Technology
154,20,Female,BCA,5.83,6.7,73,7.5,outstanding,online,hard,0.0,poor,average,good,poor,average,95.0,Public Service
155,18,Male,BCA,7.49,4.4,91,4.2,average,coaching,hard,4.6,outstanding,poor,poor,poor,average,76.83,Public Service
156,24,Female,BBA,6.8,1.6,88,7.1,poor,coaching,moderate,6.8,good,poor,outstanding,good,poor,63.18,Technology
157,20,Male,BSc,6.07,5.0,71,5.4,good,self-study,hard,4.9,good,good,outstanding,average,average,76.28,Technology
158,22,Female,BBA,6.65,9.5,92,5.9,outstanding,group-study,easy,0.0,outstanding,average,average,outstanding,outstanding,95.0,Creative
159,19,Male,BA,8.52,4.7,69,8.1,average,self-study,easy,5.4,average,good,average,poor,outstanding,87.18,Creative
160,23,Male,BBA,6.87,9.8,90,5.2,outstanding,online,easy,4.2,poor,average,average,poor,outstanding,95.0,Creative
161,23,Male,BCA,6.25,1.1,52,8.4,average,self-study,hard,6.4,poor,poor,good,poor,poor,59.88,Public Service
162,24,Female,BSc,5.45,1.1,84,7.1,average,coaching,easy,0.5,outstanding,poor,average,poor,average,82.24,Public Service
163,21,Male,BBA,9.05,1.3,71,4.7,poor,group-study,hard,3.6,poor,outstanding,outstanding,average,good,74.82,Creative
164,20,Female,BCom,8.88,3.5,73,8.6,good,self-study,hard,6.5,poor,poor,poor,good,poor,88.1,Public Service
165,18,Female,BBA,8.54,2.4,75,7.1,poor,group-study,easy,1.4,poor,outstanding,good,outstanding,good,78.08,Business
166,24,Male,BA,8.33,4.1,76,5.8,average,online,hard,4.9,good,average,good,average,poor,88.86,Technology
167,22,Male,BSc,5.57,6.5,71,5.9,outstanding,online,moderate,0.0,poor,poor,average,outstanding,poor,89.27,Public Service
168,18,Male,BTech,7.92,3.6,76,6.9,good,online,easy,1.6,outstanding,good,good,good,outstanding,92.26,Technology
169,20,Female,BTech,5.65,7.6,96,6.1,good,self-study,moderate,0.0,poor,good,good,outstanding,poor,95.0,Business
170,20,Female,BCom,9.32,9.1,87,4.9,outstanding,group-study,easy,1.2,good,outstanding,poor,outstanding,good,95.0,Business
171,18,Male,BTech,9.58,8.7,94,4.5,outstanding,group-study,moderate,0.9,outstanding,outstanding,poor,poor,good,95.0,Research
172,24,Male,BCA,8.95,8.9,94,8.2,outstanding,coaching,moderate,1.2,good,good,outstanding,poor,good,95.0,Technology
173,19,Male,BBA,5.15,4.1,76,5.0,average,online,hard,3.3,average,average,outstanding,poor,outstanding,59.86,Creative
174,22,Male,BBA,5.35,7.7,97,6.5,outstanding,online,moderate,4.1,average,average,good,good,average,95.0,Public Service
175,20,Male,BBA,8.13,3.7,73,4.7,average,coaching,easy,3.5,poor,good,poor,good,good,90.85,Business
176,22,Female,BSc,6.48,8.0,86,5.4,outstanding,online,easy,3.8,good,poor,good,good,good,95.0,Technology
177,18,Female,BCom,7.38,2.5,70,5.4,poor,coaching,hard,0.0,outstanding,average,good,outstanding,good,79.53,Technology
178,23,Female,BCom,7.43,9.0,89,6.4,good,group-study,moderate,3.1,good,outstanding,poor,outstanding,average,95.0,Business
179,20,Female,BCom,8.32,8.6,94,7.5,outstanding,coaching,moderate,0.0,average,good,average,poor,good,95.0,Creative
180,24,Female,BCA,6.72,1.0,60,8.0,average,self-study,moderate,0.5,poor,poor,outstanding,average,outstanding,78.49,Creative
181,22,Female,BCom,9.23,9.0,99,5.2,outstanding,self-study,hard,0.0,good,outstanding,average,average,poor,95.0,Public Service
182,21,Female,BTech,5.51,5.8,77,4.7,good,online,moderate,0.2,poor,outstanding,outstanding,good,good,76.37,Business
183,21,Male,BCA,8.12,4.8,67,5.4,average,coaching,easy,6.2,outstanding,average,outstanding,outstanding,average,83.33,Technology
184,20,Female,BSc,8.77,9.8,86,8.3,outstanding,self-study,moderate,0.0,good,average,good,outstanding,average,95.0,Technology
185,23,Female,BCA,5.88,9.5,97,4.3,good,coaching,moderate,0.0,poor,average,poor,poor,outstanding,94.86,Creative
186,20,Female,BBA,6.97,9.6,83,8.6,good,coaching,easy,0.0,good,outstanding,poor,poor,poor,95.0,Public Service
187,21,Female,BBA,9.46,1.1,79,4.1,average,coaching,easy,3.7,average,good,outstanding,poor,average,83.4,Public Service
188,22,Male,BSc,5.22,8.0,88,4.6,outstanding,group-study,hard,3.0,average,poor,good,poor,poor,87.48,Public Service
189,24,Male,BA,8.54,8.2,77,5.7,good,online,easy,0.0,outstanding,good,average,average,outstanding,95.0,Research
190,20,Female,BCom,8.91,4.4,86,7.6,good,self-study,moderate,3.1,average,poor,poor,good,good,92.87,Creative
191,19,Male,BSc,7.67,4.9,81,6.1,good,self-study,moderate,4.4,good,average,poor,average,average,94.68,Public Service
192,22,Male,BA,7.44,5.2,75,5.2,average,online,easy,3.2,poor,poor,average,good,poor,85.85,Public Service
193,23,Male,BA,5.74,9.9,72,8.4,good,group-study,hard,0.0,good,poor,good,poor,average,95.0,Technology
194,24,Female,BCom,7.54,9.4,64,7.1,good,group-study,easy,4.1,outstanding,good,poor,average,poor,95.0,Public Service
195,23,Male,BTech,7.85,4.5,86,8.1,good,online,moderate,0.1,poor,poor,average,poor,poor,95.0,Public Service
196,18,Female,BA,6.01,1.7,85,5.2,average,coaching,hard,4.6,outstanding,good,average,good,good,72.87,Business
197,19,Male,BTech,8.83,5.5,79,4.9,average,coaching,moderate,6.1,good,poor,outstanding,good,good,85.23,Technology
198,24,Male,BCom,7.3,3.8,91,5.5,good,group-study,moderate,3.6,outstanding,outstanding,poor,outstanding,poor,92.52,Business
199,18,Male,BA,8.17,6.7,91,7.0,outstanding,self-study,hard,1.9,poor,outstanding,outstanding,outstanding,average,95.0,Business
200,19,Female,BTech,6.8,3.5,65,5.2,good,self-study,hard,0.8,poor,good,average,outstanding,average,76.61,Business
201,20,Male,BTech,5.53,1.1,66,4.1,poor,online,moderate,0.8,poor,poor,good,outstanding,good,58.16,Creative
202,20,Male,BCA,6.43,6.4,78,7.1,good,self-study,hard,3.6,average,poor,outstanding,average,average,91.66,Public Service
203,19,Male,BA,7.49,6.6,89,6.9,good,self-study,easy,4.3,good,average,average,average,poor,93.98,Public Service
204,20,Female,BA,5.34,3.3,70,5.5,average,online,moderate,4.6,poor,outstanding,good,average,average,64.47,Public Service
205,23,Female,BA,9.2,5.2,64,4.4,average,self-study,hard,3.8,good,good,outstanding,good,outstanding,95.0,Technology
206,18,Male,BSc,9.51,1.8,91,8.7,average,self-study,easy,0.0,outstanding,poor,poor,good,average,95.0,Research
207,19,Female,BSc,9.48,4.3,65,6.4,average,self-study,easy,6.3,poor,outstanding,good,good,poor,91.52,Business
208,22,Male,BCA,6.5,9.9,86,6.6,outstanding,self-study,hard,0.0,average,outstanding,poor,outstanding,good,95.0,Business
209,18,Female,BTech,5.38,7.3,61,7.6,good,coaching,moderate,0.0,outstanding,good,average,outstanding,good,95.0,Business
210,21,Female,BTech,8.97,7.7,94,4.8,outstanding,self-study,easy,2.8,average,outstanding,good,average,good,95.0,Creative
211,23,Male,BCom,5.28,2.8,68,6.1,poor,self-study,hard,3.3,outstanding,average,good,good,average,64.47,Technology
212,18,Female,BTech,9.08,5.0,81,4.5,good,group-study,moderate,0.0,good,poor,average,average,average,95.0,Public Service
213,19,Female,BBA,6.07,8.1,82,5.4,good,online,moderate,3.6,good,poor,good,good,outstanding,86.17,Technology
214,23,Female,BCom,9.06,8.5,94,4.1,outstanding,group-study,easy,3.2,good,good,outstanding,average,poor,95.0,Technology
215,23,Female,BBA,9.33,2.5,78,8.9,poor,coaching,easy,0.3,average,average,good,good,average,95.0,Public Service
216,24,Male,BA,9.5,3.5,46,8.7,average,online,moderate,5.5,poor,good,poor,outstanding,good,94.14,Business
217,20,Male,BSc,5.69,9.1,90,5.8,outstanding,coaching,moderate,0.0,average,outstanding,good,poor,outstanding,95.0,Creative
218,23,Female,BCom,7.6,9.6,96,8.1,outstanding,coaching,hard,0.0,poor,good,outstanding,average,poor,95.0,Public Service
219,24,Female,BCA,8.2,6.0,85,8.1,average,self-study,moderate,4.1,outstanding,outstanding,good,good,outstanding,95.0,Technology
220,19,Male,BCom,6.49,8.7,100,7.9,outstanding,self-study,moderate,4.9,good,outstanding,outstanding,average,average,95.0,Technology
221,21,Male,BSc,8.49,6.7,77,4.1,good,self-study,moderate,5.6,average,outstanding,poor,poor,average,95.0,Public Service
222,18,Female,BTech,6.44,5.9,87,4.9,average,online,hard,3.6,good,outstanding,poor,outstanding,average,82.87,Business
223,19,Female,BCom,8.53,4.3,62,6.4,good,group-study,moderate,4.0,good,good,good,outstanding,average,92.28,Technology
224,19,Female,BTech,5.11,9.0,61,8.4,outstanding,self-study,easy,0.0,average,outstanding,good,average,average,95.0,Public Service
